;empresa_nome;receita_milhao;cidade;uf;empresa_href;descricao;industria
897;Cafe Filho Industria E Comercio Ltda;0.43;Porangatu;Goias;https://www.dnb.com/business-directory/company-profiles.cafe_filho_industria_e_comercio_ltda.173f9ca91ba44260004cb6057a937eaa.html;CAFE FILHO INDUSTRIA E COMERCIO LTDA is located in PORANGATU, GOIAS, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
898;Parana Export Industria E Comercio De Cafe Ltda;0.43;Brasilia;Distrito Federal;https://www.dnb.com/business-directory/company-profiles.parana_export_industria_e_comercio_de_cafe_ltda.181a8b807443ed9dc9f8153902e614b6.html;PARANA EXPORT INDUSTRIA E COMERCIO DE CAFE LTDA is located in BRASILIA, DISTRITO FEDERAL, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
899;Cafe Campeiro Ltda;0.43;Dourados;Mato Grosso Do Sul;https://www.dnb.com/business-directory/company-profiles.cafe_campeiro_ltda.3a19331cfd36dcf406dc7b57d7adcac9.html;CAFE CAMPEIRO LTDA is located in DOURADOS, MATO GROSSO DO SUL, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
900;Cafe Vallory Industria E Comercio Ltda;0.43;Cachoeiro De Itapemirim;Espirito Santo;https://www.dnb.com/business-directory/company-profiles.cafe_vallory_industria_e_comercio_ltda.7b67ba7d486d94f617f0497e5e70f47e.html;CAFE VALLORY INDUSTRIA E COMERCIO LTDA is located in CACHOEIRO DE ITAPEMIRIM, ESPIRITO SANTO, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
901;R P Industria E Comercio De Cafe Ltda;0.43;Caucaia;Ceara;https://www.dnb.com/business-directory/company-profiles.r_p_industria_e_comercio_de_cafe_ltda.83cb678fcbc7eecd922ae7464506a2d8.html;R P INDUSTRIA E COMERCIO DE CAFE LTDA is located in CAUCAIA, CEARA, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
902;Cafe Barra Forte Ltda;0.43;Barra Do Choca;Bahia;https://www.dnb.com/business-directory/company-profiles.cafe_barra_forte_ltda.d9336c3de337f84dda1cf66df4390707.html;CAFE BARRA FORTE LTDA is located in BARRA DO CHOCA, BAHIA, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
903;Inpracam De Alimentos Ltda;0.43;Sao Joao Da Boa Vista;Sao Paulo;https://www.dnb.com/business-directory/company-profiles.inpracam_de_alimentos_ltda.8c4b5001ba574e25aa8ebf994c339849.html;INPRACAM DE ALIMENTOS LTDA is located in SAO JOAO DA BOA VISTA, SAO PAULO, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
904;Industria E Comercio De Cafe Guara Ltda;0.43;Guaratingueta;Sao Paulo;https://www.dnb.com/business-directory/company-profiles.industria_e_comercio_de_cafe_guara_ltda.5a50969b064d7933f19f32ca74fe6a8c.html;INDUSTRIA E COMERCIO DE CAFE GUARA LTDA is located in GUARATINGUETA, SAO PAULO, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
905;Torrefacao E Moagem De Cafe Cuba Ltda;0.43;Itapui;Sao Paulo;https://www.dnb.com/business-directory/company-profiles.torrefacao_e_moagem_de_cafe_cuba_ltda.36ace73f38229eb7260f16cd257f50cf.html;TORREFACAO E MOAGEM DE CAFE CUBA LTDA is located in ITAPUI, SAO PAULO, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
906;Cafe O Bom Retiro Ltda;0.43;Santos;Sao Paulo;https://www.dnb.com/business-directory/company-profiles.cafe_o_bom_retiro_ltda.85cab7a390fd24a4999a9f8c8b4ab92b.html;CAFE O BOM RETIRO LTDA is located in SANTOS, SAO PAULO, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
907;M H Rocha Rocha & Cia Ltda;0.43;Engenheiro Beltrao;Parana;https://www.dnb.com/business-directory/company-profiles.m_h_rocha_rocha__cia_ltda.379217b2446ccc1043f6e18727edcd7d.html;M H ROCHA ROCHA & CIA LTDA is located in ENGENHEIRO BELTRAO, PARANA, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
908;J Ferreira & Gimenes Correia Ltda;0.43;Itauna Do Sul;Parana;https://www.dnb.com/business-directory/company-profiles.j_ferreira__gimenes_correia_ltda.bef6c9ab0069bd72191c868c4f65b707.html;J FERREIRA & GIMENES CORREIA LTDA is located in ITAUNA DO SUL, PARANA, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
